"last_name, first_name","player_id","year","xba","xslg","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate",""
"Bregman, Alex","608324","2023",".262",".423",".349",".364",".161","88.6","17.6",5.4,
"Garcia, Maikel","672580","2023",".270",".387",".318",".327",".118","91.8","6.1",3.9,
"Benintendi, Andrew","643217","2023",".267",".370",".309",".332",".102","86.6","14.5",2.9,
"Rodriguez, Julio","677594","2023",".275",".473",".346",".333",".198","92.7","8.5",11.9,
"Happ, Ian","664023","2023",".251",".421",".349",".366",".170","89.9","13",9,
"Volpe, Anthony","683011","2023",".229",".391",".307",".303",".162","88.7","14.2",9,
"Garcia, Adolis","666969","2023",".249",".523",".367",".333",".274","92.1","15.7",16.1,
"Lindor, Francisco","596019","2023",".253",".454",".345",".338",".202","91.2","19.2",10.4,
"Smith, Will","669257","2023",".261",".433",".353",".365",".172","89.3","15.6",6.7,
"Anderson, Tim","641313","2023",".250",".330",".279",".293",".080","87.8","2",2.9,
"Tovar, Ezequiel","678662","2023",".247",".383",".290",".282",".137","88","12.6",8.1,
"Hays, Austin","669720","2023",".241",".419",".310",".295",".178","89.4","10.4",8.9,
"Lowe, Nathaniel","663993","2023",".260",".400",".337",".359",".140","89.8","7.2",6.5,
"Harper, Bryce","547180","2023",".287",".522",".397",".400",".235","91.8","9.1",15.2,
"Bichette, Bo","666182","2023",".308",".496",".361",".341",".188","90.2","6.2",9.6,
"Ozuna, Marcell","542303","2023",".284",".583",".400",".357",".300","91.8","15.6",16.6,
"Baez, Javier","595879","2023",".238",".358",".284",".285",".120","88","9.4",5.2,
"Ramirez, Jose","608070","2023",".297",".478",".360",".372",".181","90","18",7,
"Burger, Jake","669394","2023",".268",".506",".358",".328",".238","91.9","12.3",16.7,
"Melendez Jr., MJ","669004","2023",".233",".428",".325",".316",".195","93.2","16.9",11.4,
"Bogaerts, Xander","593428","2023",".252",".395",".317",".322",".143","87.6","7.9",6.1,
